dist_along,Y,RefDir_dx,RefDir_dy
0.000000,10.000000,0.707107,0.707107
1.000000,10.996338,0.709696,0.704508
2.000000,11.985405,0.712267,0.701909
3.000000,12.967280,0.714819,0.699310
4.000000,13.942039,0.717352,0.696711
5.000000,14.909757,0.719867,0.694112
6.000000,15.870509,0.722364,0.691513
7.000000,16.824365,0.724843,0.688914
8.000000,17.771397,0.727304,0.686315
9.000000,18.711674,0.729748,0.683716
10.000000,19.645262,0.732174,0.681117
11.000000,20.572230,0.734583,0.678519
12.000000,21.492640,0.736975,0.675920
13.000000,22.406558,0.739351,0.673321
14.000000,23.314045,0.741709,0.670722
15.000000,24.215162,0.744051,0.668123
16.000000,25.109970,0.746377,0.665524
17.000000,25.998528,0.748686,0.662925
18.000000,26.880892,0.750979,0.660326
19.000000,27.757120,0.753256,0.657727
20.000000,28.627267,0.755518,0.655128
21.000000,29.491388,0.757764,0.652529
22.000000,30.349535,0.759994,0.649930
23.000000,31.201762,0.762209,0.647331
24.000000,32.048119,0.764408,0.644732
25.000000,32.888658,0.766593,0.642133
26.000000,33.723428,0.768762,0.639535
27.000000,34.552477,0.770917,0.636936
28.000000,35.375854,0.773057,0.634337
29.000000,36.193605,0.775182,0.631738
30.000000,37.005777,0.777293,0.629139
31.000000,37.812415,0.779389,0.626540
32.000000,38.613563,0.781471,0.623941
33.000000,39.409265,0.783539,0.621342
34.000000,40.199565,0.785593,0.618743
35.000000,40.984504,0.787633,0.616144
36.000000,41.764124,0.789660,0.613545
37.000000,42.538466,0.791672,0.610946
38.000000,43.307570,0.793671,0.608347
39.000000,44.071476,0.795656,0.605748
40.000000,44.830222,0.797628,0.603150
41.000000,45.583846,0.799587,0.600551
42.000000,46.332387,0.801532,0.597952
43.000000,47.075880,0.803464,0.595353
44.000000,47.814363,0.805384,0.592754
45.000000,48.547870,0.807290,0.590155
46.000000,49.276438,0.809184,0.587556
47.000000,50.000101,0.811064,0.584957
48.000000,50.718892,0.812932,0.582358
49.000000,51.432846,0.814788,0.579759
50.000000,52.141995,0.816631,0.577160
51.000000,52.846372,0.818462,0.574561
52.000000,53.546009,0.820280,0.571962
53.000000,54.240937,0.822086,0.569363
54.000000,54.931187,0.823880,0.566764
55.000000,55.616789,0.825662,0.564166
56.000000,56.297774,0.827432,0.561567
57.000000,56.974172,0.829189,0.558968
58.000000,57.646011,0.830936,0.556369
59.000000,58.313320,0.832670,0.553770
60.000000,58.976127,0.834392,0.551171
61.000000,59.634460,0.836103,0.548572
62.000000,60.288347,0.837803,0.545973
63.000000,60.937814,0.839491,0.543374
64.000000,61.582888,0.841167,0.540775
65.000000,62.223596,0.842832,0.538176
66.000000,62.859963,0.844486,0.535577
67.000000,63.492014,0.846129,0.532978
68.000000,64.119775,0.847760,0.530379
69.000000,64.743270,0.849381,0.527780
70.000000,65.362525,0.850990,0.525182
71.000000,65.977562,0.852589,0.522583
72.000000,66.588405,0.854176,0.519984
73.000000,67.195079,0.855753,0.517385
74.000000,67.797605,0.857319,0.514786
75.000000,68.396007,0.858874,0.512187
76.000000,68.990306,0.860419,0.509588
77.000000,69.580526,0.861953,0.506989
78.000000,70.166687,0.863476,0.504390
79.000000,70.748811,0.864989,0.501791
80.000000,71.326920,0.866491,0.499192
81.000000,71.901033,0.867983,0.496593
82.000000,72.471173,0.869465,0.493994
83.000000,73.037358,0.870937,0.491395
84.000000,73.599609,0.872398,0.488797
85.000000,74.157946,0.873849,0.486198
86.000000,74.712388,0.875290,0.483599
87.000000,75.262955,0.876721,0.481000
88.000000,75.809665,0.878142,0.478401
89.000000,76.352536,0.879553,0.475802
90.000000,76.891589,0.880953,0.473203
91.000000,77.426840,0.882345,0.470604
92.000000,77.958307,0.883726,0.468005
93.000000,78.486009,0.885097,0.465406
94.000000,79.009963,0.886459,0.462807
95.000000,79.530185,0.887811,0.460208
96.000000,80.046694,0.889153,0.457609
97.000000,80.559506,0.890486,0.455010
98.000000,81.068637,0.891809,0.452411
99.000000,81.574103,0.893123,0.449813
100.000000,82.075922,0.894427,0.447214
