dist_along,Y,RefDir_dx,RefDir_dy
0.000000,10.000000,0.707107,-0.707107
1.000000,9.016064,0.718465,-0.695564
2.000000,8.063265,0.729463,-0.684020
3.000000,7.140215,0.740118,-0.672477
4.000000,6.245645,0.750444,-0.660934
5.000000,5.378397,0.760455,-0.649391
6.000000,4.537404,0.770163,-0.637848
7.000000,3.721686,0.779579,-0.626304
8.000000,2.930337,0.788713,-0.614761
9.000000,2.162521,0.797576,-0.603218
10.000000,1.417461,0.806177,-0.591675
11.000000,0.694436,0.814523,-0.580132
12.000000,-0.007224,0.822622,-0.568588
13.000000,-0.688145,0.830482,-0.557045
14.000000,-1.348910,0.838110,-0.545502
15.000000,-1.990065,0.845511,-0.533959
16.000000,-2.612120,0.852691,-0.522416
17.000000,-3.215553,0.859657,-0.510872
18.000000,-3.800814,0.866412,-0.499329
19.000000,-4.368326,0.872963,-0.487786
20.000000,-4.918483,0.879314,-0.476243
21.000000,-5.451661,0.885468,-0.464700
22.000000,-5.968210,0.891431,-0.453156
23.000000,-6.468462,0.897206,-0.441613
24.000000,-6.952730,0.902796,-0.430070
25.000000,-7.421309,0.908204,-0.418527
26.000000,-7.874478,0.913436,-0.406983
27.000000,-8.312499,0.918492,-0.395440
28.000000,-8.735623,0.923376,-0.383897
29.000000,-9.144083,0.928091,-0.372354
30.000000,-9.538103,0.932639,-0.360811
31.000000,-9.917892,0.937023,-0.349267
32.000000,-10.283651,0.941245,-0.337724
33.000000,-10.635565,0.945307,-0.326181
34.000000,-10.973814,0.949212,-0.314638
35.000000,-11.298565,0.952960,-0.303095
36.000000,-11.609977,0.956555,-0.291551
37.000000,-11.908200,0.959998,-0.280008
38.000000,-12.193375,0.963289,-0.268465
39.000000,-12.465635,0.966432,-0.256922
40.000000,-12.725107,0.969427,-0.245379
41.000000,-12.971908,0.972276,-0.233835
42.000000,-13.206149,0.974980,-0.222292
43.000000,-13.427935,0.977540,-0.210749
44.000000,-13.637363,0.979958,-0.199206
45.000000,-13.834524,0.982234,-0.187663
46.000000,-14.019504,0.984369,-0.176119
47.000000,-14.192382,0.986364,-0.164576
48.000000,-14.353230,0.988221,-0.153033
49.000000,-14.502117,0.989940,-0.141490
50.000000,-14.639105,0.991521,-0.129947
51.000000,-14.764251,0.992966,-0.118403
52.000000,-14.877606,0.994274,-0.106860
53.000000,-14.979217,0.995447,-0.095317
54.000000,-15.069125,0.996485,-0.083774
55.000000,-15.147367,0.997388,-0.072231
56.000000,-15.213974,0.998157,-0.060687
57.000000,-15.268974,0.998792,-0.049144
58.000000,-15.312388,0.999293,-0.037601
59.000000,-15.344234,0.999660,-0.026058
60.000000,-15.364525,0.999895,-0.014515
61.000000,-15.373268,0.999996,-0.002971
62.000000,-15.370468,0.999963,0.008572
63.000000,-15.356123,0.999798,0.020115
64.000000,-15.330227,0.999499,0.031658
65.000000,-15.292770,0.999066,0.043201
66.000000,-15.243737,0.998500,0.054745
67.000000,-15.183109,0.997801,0.066288
68.000000,-15.110861,0.996967,0.077831
69.000000,-15.026963,0.995998,0.089374
70.000000,-14.931382,0.994895,0.100917
71.000000,-14.824078,0.993656,0.112461
72.000000,-14.705009,0.992282,0.124004
73.000000,-14.574124,0.990771,0.135547
74.000000,-14.431370,0.989123,0.147090
75.000000,-14.276688,0.987338,0.158634
76.000000,-14.110012,0.985414,0.170177
77.000000,-13.931272,0.983350,0.181720
78.000000,-13.740392,0.981147,0.193263
79.000000,-13.537290,0.978803,0.204806
80.000000,-13.321878,0.976316,0.216350
81.000000,-13.094062,0.973686,0.227893
82.000000,-12.853741,0.970912,0.239436
83.000000,-12.600807,0.967992,0.250979
84.000000,-12.335145,0.964926,0.262522
85.000000,-12.056635,0.961711,0.274066
86.000000,-11.765147,0.958346,0.285609
87.000000,-11.460543,0.954830,0.297152
88.000000,-11.142679,0.951161,0.308695
89.000000,-10.811399,0.947337,0.320238
90.000000,-10.466542,0.943356,0.331782
91.000000,-10.107933,0.939217,0.343325
92.000000,-9.735392,0.934916,0.354868
93.000000,-9.348723,0.930453,0.366411
94.000000,-8.947724,0.925824,0.377954
95.000000,-8.532178,0.921027,0.389498
96.000000,-8.101857,0.916060,0.401041
97.000000,-7.656518,0.910920,0.412584
98.000000,-7.195906,0.905603,0.424127
99.000000,-6.719751,0.900106,0.435670
100.000000,-6.227766,0.894427,0.447214
